frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
0,227.765,303.143,0.991944,227.48,370.127,0.977276,182.91,370.017,0.913538,120.827,427.813,0.90951,67.2207,477.037,0.9355,267.665,374.364,0.976699,320.948,432.282,0.845676,343.364,481.275,0.934777,223.105,525.768,0.835759,191.775,521.491,0.840536,191.904,654.732,0.88903,187.481,766.421,0.851518,254.305,525.87,0.807433,262.877,654.8,0.902081,249.827,770.741,0.81653,223.151,298.706,0.952611,236.407,298.746,0.938071,200.912,303.396,0.893127,254.327,303.472,0.773694,249.852,801.917,0.742229,267.656,801.757,0.786649,236.406,784.085,0.743018,191.735,801.826,0.685775,165.14,801.602,0.711128,191.866,779.566,0.721793
1,231.8,303.185,0.997542,227.47,370.157,0.975464,182.944,370.037,0.915882,120.644,432.225,0.900815,58.35,476.841,0.954375,267.651,374.395,0.97807,316.629,432.251,0.841112,343.428,481.243,0.922611,223.094,521.534,0.84101,191.768,521.456,0.847611,191.929,650.535,0.886563,187.536,766.302,0.874303,254.261,525.835,0.811394,258.76,654.7,0.88769,249.797,770.645,0.827582,223.166,298.743,0.958622,236.427,298.78,0.939201,200.925,303.412,0.89543,254.306,303.47,0.744905,249.861,801.904,0.746014,267.64,801.747,0.798261,236.384,779.642,0.753454,191.81,801.746,0.710983,165.215,797.482,0.728922,191.9,775.123,0.747349
2,227.729,303.254,0.997567,227.472,370.206,0.971885,182.992,370.084,0.921616,120.711,436.617,0.912798,54.2057,476.752,0.942922,267.653,374.447,0.976344,316.62,436.676,0.853884,347.742,481.319,0.904013,223.127,525.807,0.838745,191.799,521.531,0.846296,191.879,654.751,0.889667,187.55,766.328,0.865555,254.309,525.892,0.810754,258.765,654.775,0.88903,249.754,770.686,0.822515,223.104,298.784,0.957191,236.361,298.851,0.950491,200.875,303.418,0.890181,254.254,307.604,0.768524,249.867,801.901,0.75328,267.637,801.73,0.800998,236.369,783.984,0.751067,191.782,801.786,0.690096,165.206,797.51,0.710214,191.923,775.157,0.73405
3,227.752,303.348,0.990677,227.48,374.3,0.970776,183,370.134,0.925335,120.825,436.746,0.929976,54.0791,476.789,0.953919,267.684,374.518,0.968071,312.19,440.987,0.887114,347.8,481.465,0.888301,223.144,525.835,0.839055,191.833,521.551,0.85008,191.87,654.763,0.895929,187.531,766.361,0.862304,254.318,525.93,0.810726,258.711,654.775,0.893017,249.807,770.696,0.822447,223.122,298.856,0.961215,236.383,298.921,0.952105,200.872,303.463,0.882648,254.277,307.668,0.747623,254.169,801.937,0.746738,267.682,801.741,0.795365,236.397,784.002,0.748799,191.741,801.832,0.694517,165.163,797.555,0.720512,191.922,775.201,0.73639
4,227.759,303.393,0.988155,227.503,374.315,0.975034,183.043,370.151,0.931452,120.888,441.004,0.938464,54.105,476.819,0.941481,267.733,374.535,0.969084,307.837,441.175,0.928602,347.714,485.766,0.876549,223.15,525.766,0.839794,191.846,521.514,0.850216,191.946,654.746,0.892639,187.538,766.343,0.854031,254.3,525.843,0.813228,262.908,654.694,0.892951,254.167,770.63,0.8347,223.147,298.897,0.964533,236.392,298.976,0.955865,200.901,307.602,0.86887,254.274,307.763,0.760378,254.26,801.901,0.759616,267.726,801.716,0.803931,236.478,779.639,0.749532,191.769,801.807,0.683714,165.211,797.543,0.708752,191.916,775.194,0.712842
5,227.763,303.401,0.986324,227.473,374.357,0.974171,183.05,370.156,0.933042,125.282,441.093,0.941453,58.5044,477.039,0.916421,267.646,374.591,0.97135,307.648,445.659,0.941345,343.471,503.478,0.855159,223.126,525.846,0.830192,191.804,525.774,0.840764,191.886,654.806,0.90702,187.458,766.394,0.851457,254.319,530.204,0.803687,258.722,654.741,0.889769,249.801,770.697,0.830244,223.159,298.902,0.96562,236.403,298.986,0.954027,200.936,307.6,0.85448,254.308,307.783,0.761097,254.192,801.905,0.768161,267.67,801.721,0.812645,236.393,784.007,0.758188,191.721,801.834,0.692746,160.976,801.615,0.719944,191.865,775.237,0.723235
6,231.791,303.414,0.985181,227.435,374.425,0.973817,183.019,370.179,0.930657,134.013,441.182,0.921657,71.8052,481.32,0.903735,267.599,374.692,0.961064,303.181,445.666,0.963769,339.08,507.901,0.914922,223.019,525.789,0.821996,191.756,521.541,0.834003,191.895,654.752,0.903184,187.516,766.329,0.860007,249.866,525.841,0.798173,258.666,654.731,0.887092,249.866,770.656,0.83573,223.173,298.912,0.967839,236.425,303.026,0.952199,200.95,307.61,0.852324,254.338,307.826,0.753201,254.205,801.873,0.770911,267.669,801.707,0.811196,236.457,779.674,0.761004,191.786,801.783,0.704864,165.206,797.521,0.722674,191.912,775.128,0.731814
7,231.789,303.389,0.985995,227.447,374.389,0.97293,183.068,370.168,0.924142,138.502,445.577,0.929929,80.5046,485.92,0.88294,267.575,374.605,0.964985,298.809,445.898,0.934298,338.725,512.368,0.959712,223.076,525.842,0.820644,191.802,525.832,0.831758,191.882,650.553,0.889834,187.499,766.324,0.862658,254.183,525.847,0.797898,258.671,654.697,0.882412,249.8,770.698,0.830713,223.166,298.895,0.966703,236.417,298.97,0.951704,200.933,307.603,0.854559,258.528,307.785,0.763575,249.822,801.872,0.755932,267.603,801.731,0.804153,236.428,783.995,0.762179,191.737,801.761,0.699978,165.168,797.484,0.719367,191.907,775.125,0.737579
8,231.785,303.404,0.98488,227.455,374.413,0.974735,183.106,370.175,0.922034,147.47,445.83,0.919756,85.2371,503.504,0.906543,267.573,374.63,0.961933,298.515,454.653,0.859432,334.295,516.983,0.958179,223.071,525.84,0.820878,191.747,525.826,0.82644,191.879,650.558,0.88847,187.536,766.326,0.859237,254.219,525.864,0.800309,258.695,654.721,0.885728,249.835,770.747,0.825786,223.166,298.91,0.966308,236.41,298.982,0.953371,200.934,307.605,0.851377,254.339,307.784,0.763191,249.847,801.901,0.744587,267.621,801.761,0.80027,236.438,784.057,0.771825,191.735,801.791,0.68091,165.196,797.507,0.696729,191.959,775.142,0.728141
9,231.805,303.39,0.990042,227.451,374.35,0.971418,187.299,370.149,0.918338,151.905,445.85,0.941691,93.9399,512.249,0.929161,267.53,374.514,0.974748,289.805,450.148,0.855452,312.169,517.114,0.884178,223.186,525.876,0.837124,191.825,525.847,0.843804,191.961,654.729,0.903637,191.653,766.42,0.863053,258.55,525.895,0.819123,258.698,654.781,0.893813,249.837,770.77,0.823786,223.183,298.897,0.968598,236.432,298.97,0.951805,200.932,307.597,0.858781,258.535,307.762,0.736953,249.811,801.914,0.744185,267.585,801.77,0.801303,236.452,784.072,0.764572,191.768,801.839,0.700054,165.213,801.602,0.720168,191.969,779.549,0.733683
